Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,90,0.61,0.9099999999999999,0.42049231212766613
100% Corpus,90,0.61,symmetric,0.3198865379455199
100% Corpus,90,0.9099999999999999,0.01,0.30983633301067687
100% Corpus,90,0.9099999999999999,0.31,0.39214607138948276
100% Corpus,90,0.9099999999999999,0.61,0.4281224590348057
100% Corpus,90,0.9099999999999999,0.9099999999999999,0.43296126833680276
100% Corpus,90,0.9099999999999999,symmetric,0.3096301150688114
100% Corpus,90,symmetric,0.01,0.45206991156630694
100% Corpus,90,symmetric,0.31,0.4583933849601053
100% Corpus,90,symmetric,0.61,0.4630760540887193
100% Corpus,90,symmetric,0.9099999999999999,0.46833280461100163
100% Corpus,90,symmetric,symmetric,0.4653342963413952
100% Corpus,90,asymmetric,0.01,0.4600754692987439
100% Corpus,90,asymmetric,0.31,0.4691250010091202
100% Corpus,90,asymmetric,0.61,0.4554981058987079
100% Corpus,90,asymmetric,0.9099999999999999,0.46023165261412663
100% Corpus,90,asymmetric,symmetric,0.45239260060915626
100% Corpus,100,0.01,0.01,0.45159366737150863
100% Corpus,100,0.01,0.31,0.45022298788031956
100% Corpus,100,0.01,0.61,0.4607511487267699
100% Corpus,100,0.01,0.9099999999999999,0.5388781680293134
100% Corpus,100,0.01,symmetric,0.45270783489410277
100% Corpus,100,0.31,0.01,0.34786254399677924
100% Corpus,100,0.31,0.31,0.550406860263072
100% Corpus,100,0.31,0.61,0.4285427394622207
100% Corpus,100,0.31,0.9099999999999999,0.4221459647620938
100% Corpus,100,0.31,symmetric,0.345619892608879
100% Corpus,100,0.61,0.01,0.30813844621556347
100% Corpus,100,0.61,0.31,0.39080536468732047
100% Corpus,100,0.61,0.61,0.42910026735883894
100% Corpus,100,0.61,0.9099999999999999,0.4204923121276661
100% Corpus,100,0.61,symmetric,0.31108738345999326
100% Corpus,100,0.9099999999999999,0.01,0.3007995461623547
100% Corpus,100,0.9099999999999999,0.31,0.3938283952242304
100% Corpus,100,0.9099999999999999,0.61,0.4308316438967912
100% Corpus,100,0.9099999999999999,0.9099999999999999,0.43338571466457265
100% Corpus,100,0.9099999999999999,symmetric,0.3031852437659371
100% Corpus,100,symmetric,0.01,0.45234287001001516
100% Corpus,100,symmetric,0.31,0.4517262973339571
100% Corpus,100,symmetric,0.61,0.45371209321884926
100% Corpus,100,symmetric,0.9099999999999999,0.5564521138394205
100% Corpus,100,symmetric,symmetric,0.45123731892646535
100% Corpus,100,asymmetric,0.01,0.45293820951420855
100% Corpus,100,asymmetric,0.31,0.4566056479819588
100% Corpus,100,asymmetric,0.61,0.4565575355044398
100% Corpus,100,asymmetric,0.9099999999999999,0.45589599262623276
100% Corpus,100,asymmetric,symmetric,0.455830512670995
100% Corpus,110,0.01,0.01,0.4569639492687378
100% Corpus,110,0.01,0.31,0.4552849322951606
100% Corpus,110,0.01,0.61,0.4591940457438328
100% Corpus,110,0.01,0.9099999999999999,0.6195504413542698
