Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,90,asymmetric,0.01,0.46676703698025823
75% Corpus,90,asymmetric,0.31,0.46150168471916386
75% Corpus,90,asymmetric,0.61,0.44431674684228323
75% Corpus,90,asymmetric,0.9099999999999999,0.44167594212808675
75% Corpus,90,asymmetric,symmetric,0.4653420714037331
100% Corpus,10,0.01,0.01,0.5409598043098861
100% Corpus,10,0.01,0.31,0.490071653428484
100% Corpus,10,0.01,0.61,0.4788477147241392
100% Corpus,10,0.01,0.9099999999999999,0.4660353096780838
100% Corpus,10,0.01,symmetric,0.4733656710157829
100% Corpus,10,0.31,0.01,0.413181741183521
100% Corpus,10,0.31,0.31,0.5400015748216003
100% Corpus,10,0.31,0.61,0.5469251834679818
100% Corpus,10,0.31,0.9099999999999999,0.5348035268886803
100% Corpus,10,0.31,symmetric,0.5124136317140662
100% Corpus,10,0.61,0.01,0.33036001663472875
100% Corpus,10,0.61,0.31,0.37892917589162256
100% Corpus,10,0.61,0.61,0.35830949649301846
100% Corpus,10,0.61,0.9099999999999999,0.3121172330277547
100% Corpus,10,0.61,symmetric,0.4533169312851152
100% Corpus,10,0.9099999999999999,0.01,0.3382976043749888
100% Corpus,10,0.9099999999999999,0.31,0.33021086595591265
100% Corpus,10,0.9099999999999999,0.61,0.34130666779225277
100% Corpus,10,0.9099999999999999,0.9099999999999999,0.35723883674181983
100% Corpus,10,0.9099999999999999,symmetric,0.368531366940147
100% Corpus,10,symmetric,0.01,0.47921224506821947
100% Corpus,10,symmetric,0.31,0.5984473179305534
100% Corpus,10,symmetric,0.61,0.4572138075192987
100% Corpus,10,symmetric,0.9099999999999999,0.3635992452821183
100% Corpus,10,symmetric,symmetric,0.647363894042278
100% Corpus,10,asymmetric,0.01,0.4491216266772148
100% Corpus,10,asymmetric,0.31,0.3482691882315162
100% Corpus,10,asymmetric,0.61,0.41119235858607117
100% Corpus,10,asymmetric,0.9099999999999999,0.506116286593538
100% Corpus,10,asymmetric,symmetric,0.36995649188400365
100% Corpus,20,0.01,0.01,0.5327754393878148
100% Corpus,20,0.01,0.31,0.4961384030284579
100% Corpus,20,0.01,0.61,0.4748482816081305
100% Corpus,20,0.01,0.9099999999999999,0.5307368681401178
100% Corpus,20,0.01,symmetric,0.5927008939381089
100% Corpus,20,0.31,0.01,0.42962068936346015
100% Corpus,20,0.31,0.31,0.508640571951118
100% Corpus,20,0.31,0.61,0.4313963253397562
100% Corpus,20,0.31,0.9099999999999999,0.4373730094063439
100% Corpus,20,0.31,symmetric,0.5285608590076772
100% Corpus,20,0.61,0.01,0.3668177418962958
100% Corpus,20,0.61,0.31,0.32930297893085486
100% Corpus,20,0.61,0.61,0.34214130837518064
100% Corpus,20,0.61,0.9099999999999999,0.30811357362900604
100% Corpus,20,0.61,symmetric,0.4138053191241803
100% Corpus,20,0.9099999999999999,0.01,0.34734485083158306
100% Corpus,20,0.9099999999999999,0.31,0.3420347256855778
100% Corpus,20,0.9099999999999999,0.61,0.3136134929997957
100% Corpus,20,0.9099999999999999,0.9099999999999999,0.3493000500760045
100% Corpus,20,0.9099999999999999,symmetric,0.40586056233092016
100% Corpus,20,symmetric,0.01,0.5203001035665273
100% Corpus,20,symmetric,0.31,0.4910399333094563
100% Corpus,20,symmetric,0.61,0.4546708109854623
100% Corpus,20,symmetric,0.9099999999999999,0.4956940703752427
100% Corpus,20,symmetric,symmetric,0.6155094043038509
100% Corpus,20,asymmetric,0.01,0.4631192947703723
100% Corpus,20,asymmetric,0.31,0.48667822096015234
100% Corpus,20,asymmetric,0.61,0.4504425882376303
100% Corpus,20,asymmetric,0.9099999999999999,0.4565590584213992
100% Corpus,20,asymmetric,symmetric,0.46049841025127325
100% Corpus,30,0.01,0.01,0.4721608022774508
100% Corpus,30,0.01,0.31,0.44749083506305387
100% Corpus,30,0.01,0.61,0.3836272301232225
100% Corpus,30,0.01,0.9099999999999999,0.4490345203031397
100% Corpus,30,0.01,symmetric,0.522768849173188
100% Corpus,30,0.31,0.01,0.45232264055238575
100% Corpus,30,0.31,0.31,0.46929124125982724
100% Corpus,30,0.31,0.61,0.567146693886808
100% Corpus,30,0.31,0.9099999999999999,0.5040787981194519
100% Corpus,30,0.31,symmetric,0.4794053134382695
100% Corpus,30,0.61,0.01,0.36101251730354494
100% Corpus,30,0.61,0.31,0.3471029535705458
100% Corpus,30,0.61,0.61,0.33859293459988654
100% Corpus,30,0.61,0.9099999999999999,0.32534841082636695
100% Corpus,30,0.61,symmetric,0.37764361844277167
100% Corpus,30,0.9099999999999999,0.01,0.365762010738874
100% Corpus,30,0.9099999999999999,0.31,0.34352545661744904
100% Corpus,30,0.9099999999999999,0.61,0.3510470016468658
100% Corpus,30,0.9099999999999999,0.9099999999999999,0.34614600756522496
100% Corpus,30,0.9099999999999999,symmetric,0.38967696172756805
100% Corpus,30,symmetric,0.01,0.5319738692021101
100% Corpus,30,symmetric,0.31,0.45292759652461356
100% Corpus,30,symmetric,0.61,0.4136431703872357
100% Corpus,30,symmetric,0.9099999999999999,0.46510858772541697
100% Corpus,30,symmetric,symmetric,0.5068904371112924
100% Corpus,30,asymmetric,0.01,0.4678609391958248
100% Corpus,30,asymmetric,0.31,0.506900997957005
100% Corpus,30,asymmetric,0.61,0.5311958740975732
100% Corpus,30,asymmetric,0.9099999999999999,0.4885621130437779
100% Corpus,30,asymmetric,symmetric,0.4893386517672338
100% Corpus,40,0.01,0.01,0.498727223480037
100% Corpus,40,0.01,0.31,0.42537988299217117
100% Corpus,40,0.01,0.61,0.4999974305912588
100% Corpus,40,0.01,0.9099999999999999,0.5240479715023874
100% Corpus,40,0.01,symmetric,0.5180083034990313
100% Corpus,40,0.31,0.01,0.3980540313091045
100% Corpus,40,0.31,0.31,0.6141367002202347
100% Corpus,40,0.31,0.61,0.4099244699364183
100% Corpus,40,0.31,0.9099999999999999,0.3500377170834996
100% Corpus,40,0.31,symmetric,0.40115297575770387
100% Corpus,40,0.61,0.01,0.29573768739250383
100% Corpus,40,0.61,0.31,0.3472807874375808
100% Corpus,40,0.61,0.61,0.34252146544004247
100% Corpus,40,0.61,0.9099999999999999,0.3424343487675602
100% Corpus,40,0.61,symmetric,0.3052851997046655
100% Corpus,40,0.9099999999999999,0.01,0.2992379060517351
100% Corpus,40,0.9099999999999999,0.31,0.34929504445972204
100% Corpus,40,0.9099999999999999,0.61,0.34279789532348526
100% Corpus,40,0.9099999999999999,0.9099999999999999,0.3450139275690766
100% Corpus,40,0.9099999999999999,symmetric,0.31396981558876985
100% Corpus,40,symmetric,0.01,0.4972760784855799
100% Corpus,40,symmetric,0.31,0.4569917137447991
100% Corpus,40,symmetric,0.61,0.48968735803292934
100% Corpus,40,symmetric,0.9099999999999999,0.42717374432533395
100% Corpus,40,symmetric,symmetric,0.4782708355353547
100% Corpus,40,asymmetric,0.01,0.47529634699662415
100% Corpus,40,asymmetric,0.31,0.519337818517748
100% Corpus,40,asymmetric,0.61,0.4860935468352087
100% Corpus,40,asymmetric,0.9099999999999999,0.4847479246831273
100% Corpus,40,asymmetric,symmetric,0.4760935955536027
100% Corpus,50,0.01,0.01,0.4601852983622691
100% Corpus,50,0.01,0.31,0.4197942790463655
100% Corpus,50,0.01,0.61,0.48743899724761763
100% Corpus,50,0.01,0.9099999999999999,0.4476442773783999
100% Corpus,50,0.01,symmetric,0.4671307774909587
100% Corpus,50,0.31,0.01,0.3197684176891213
100% Corpus,50,0.31,0.31,0.3279005271188617
100% Corpus,50,0.31,0.61,0.3230580896527797
100% Corpus,50,0.31,0.9099999999999999,0.30991179318634676
100% Corpus,50,0.31,symmetric,0.3084476499918565
100% Corpus,50,0.61,0.01,0.30255524670608563
100% Corpus,50,0.61,0.31,0.337466683211775
100% Corpus,50,0.61,0.61,0.34969211966741215
100% Corpus,50,0.61,0.9099999999999999,0.343919012286626
100% Corpus,50,0.61,symmetric,0.29393120626927505
100% Corpus,50,0.9099999999999999,0.01,0.2915440425721081
100% Corpus,50,0.9099999999999999,0.31,0.3507299766501032
100% Corpus,50,0.9099999999999999,0.61,0.34969211966741215
100% Corpus,50,0.9099999999999999,0.9099999999999999,0.33025926483868107
100% Corpus,50,0.9099999999999999,symmetric,0.2892705853917079
100% Corpus,50,symmetric,0.01,0.4664449367454127
100% Corpus,50,symmetric,0.31,0.4488723251170172
100% Corpus,50,symmetric,0.61,0.4542207700963261
100% Corpus,50,symmetric,0.9099999999999999,0.4501163737501343
100% Corpus,50,symmetric,symmetric,0.4772612379519542
100% Corpus,50,asymmetric,0.01,0.5041222239596588
100% Corpus,50,asymmetric,0.31,0.5059370668586031
100% Corpus,50,asymmetric,0.61,0.46713980318890674
100% Corpus,50,asymmetric,0.9099999999999999,0.4968135830606316
